grid_size,impl,num_threads,iteration,result
32,omp,2,19,0.000474
32,omp,2,20,0.000465
32,omp,2,21,0.000524
32,omp,2,22,0.000441
32,omp,2,23,0.000449
32,omp,2,24,0.000444
32,omp,2,25,0.000441
32,omp,2,26,0.000476
32,omp,2,27,0.000448
32,omp,2,28,0.000444
32,omp,2,29,0.000475
32,omp,2,30,0.000445
32,omp,8,1,0.000336
32,omp,8,2,0.000356
32,omp,8,3,0.000342
32,omp,8,4,0.000340
32,omp,8,5,0.000338
32,omp,8,6,0.000331
32,omp,8,7,0.000341
32,omp,8,8,0.000342
32,omp,8,9,0.000334
32,omp,8,10,0.000342
32,omp,8,11,0.000335
32,omp,8,12,0.000381
32,omp,8,13,0.000332
32,omp,8,14,0.000341
32,omp,8,15,0.000341
32,omp,8,16,0.000342
32,omp,8,17,0.000335
32,omp,8,18,0.000334
32,omp,8,19,0.000345
32,omp,8,20,0.000340
32,omp,8,21,0.000344
32,omp,8,22,0.000345
32,omp,8,23,0.000344
32,omp,8,24,0.000343
32,omp,8,25,0.000350
32,omp,8,26,0.000345
32,omp,8,27,0.000349
32,omp,8,28,0.000357
32,omp,8,29,0.000345
32,omp,8,30,0.000343
32,omp,32,1,0.003580
32,omp,32,2,0.003327
32,omp,32,3,0.003523
32,omp,32,4,0.003334
32,omp,32,5,0.003321
32,omp,32,6,0.003662
32,omp,32,7,0.004161
32,omp,32,8,0.003447
32,omp,32,9,0.003414
32,omp,32,10,0.003551
32,omp,32,11,0.003375
32,omp,32,12,0.004542
32,omp,32,13,0.003401
32,omp,32,14,0.003566
32,omp,32,15,0.003418
32,omp,32,16,0.003328
32,omp,32,17,0.003515
32,omp,32,18,0.003529
32,omp,32,19,0.003596
32,omp,32,20,0.003440
32,omp,32,21,0.003577
32,omp,32,22,0.003365
32,omp,32,23,0.003376
32,omp,32,24,0.003347
32,omp,32,25,0.003318
32,omp,32,26,0.003266
32,omp,32,27,0.003433
32,omp,32,28,0.003285
32,omp,32,29,0.003461
32,omp,32,30,0.003440
512,seq,2,1,0.167731
512,seq,2,2,0.168706
512,seq,2,3,0.167659
512,seq,2,4,0.175348
512,seq,2,5,0.169713
512,seq,2,6,0.180706
512,seq,2,7,0.171089
512,seq,2,8,0.169746
512,seq,2,9,0.167752
512,seq,2,10,0.169934
512,seq,2,11,0.196093
512,seq,2,12,0.177813
512,seq,2,13,0.170602
512,seq,2,14,0.168981
512,seq,2,15,0.170501
512,seq,2,16,0.179546
512,seq,2,17,0.179052
512,seq,2,18,0.188356
512,seq,2,19,0.168665
512,seq,2,20,0.164726
512,seq,2,21,0.162698
512,seq,2,22,0.164409
512,seq,2,23,0.172467
512,seq,2,24,0.175919
512,seq,2,25,0.167443
512,seq,2,26,0.165473
512,seq,2,27,0.163174
512,seq,2,28,0.166088
512,seq,2,29,0.164795
512,seq,2,30,0.165136
512,seq,8,1,0.163058
512,seq,8,2,0.164800
512,seq,8,3,0.163585
512,seq,8,4,0.171192
512,seq,8,5,0.172840
512,seq,8,6,0.169846
512,seq,8,7,0.165174
512,seq,8,8,0.164585
512,seq,8,9,0.162840
512,seq,8,10,0.164596
512,seq,8,11,0.165458
512,seq,8,12,0.163589
512,seq,8,13,0.162817
512,seq,8,14,0.168344
512,seq,8,15,0.169463
512,seq,8,16,0.168292
512,seq,8,17,0.165612
512,seq,8,18,0.164193
512,seq,8,19,0.163057
512,seq,8,20,0.165225
512,seq,8,21,0.162792
512,seq,8,22,0.164180
512,seq,8,23,0.166355
512,seq,8,24,0.166646
512,seq,8,25,0.168647
512,seq,8,26,0.167936
512,seq,8,27,0.164908
512,seq,8,28,0.162300
512,seq,8,29,0.163111
512,seq,8,30,0.164420
512,seq,32,1,0.161829
512,seq,32,2,0.162535
512,seq,32,3,0.164795
512,seq,32,4,0.162787
512,seq,32,5,0.162849
512,seq,32,6,0.163157
512,seq,32,7,0.182323
512,seq,32,8,0.163398
512,seq,32,9,0.162545
512,seq,32,10,0.183886
512,seq,32,11,0.168056
512,seq,32,12,0.178577
512,seq,32,13,0.185755
512,seq,32,14,0.184556
512,seq,32,15,0.177773
512,seq,32,16,0.166024
512,seq,32,17,0.166390
512,seq,32,18,0.169116
512,seq,32,19,0.167726
512,seq,32,20,0.171083
512,seq,32,21,0.182330
512,seq,32,22,0.173570
512,seq,32,23,0.169901
512,seq,32,24,0.176924
512,seq,32,25,0.169177
512,seq,32,26,0.168851
512,seq,32,27,0.165475
512,seq,32,28,0.167475
512,seq,32,29,0.168244
512,seq,32,30,0.166178
512,pth,2,1,0.091731
512,pth,2,2,0.091929
512,pth,2,3,0.092664
512,pth,2,4,0.095346
512,pth,2,5,0.094720
512,pth,2,6,0.096268
512,pth,2,7,0.094818
512,pth,2,8,0.093725
512,pth,2,9,0.092672
512,pth,2,10,0.091721
512,pth,2,11,0.091892
512,pth,2,12,0.091687
512,pth,2,13,0.091927
512,pth,2,14,0.092008
512,pth,2,15,0.092015
512,pth,2,16,0.091958
512,pth,2,17,0.091959
512,pth,2,18,0.091956
512,pth,2,19,0.091778
512,pth,2,20,0.092251
512,pth,2,21,0.091778
512,pth,2,22,0.092341
512,pth,2,23,0.091797
512,pth,2,24,0.092235
512,pth,2,25,0.091632
512,pth,2,26,0.091840
512,pth,2,27,0.091899
