grid_size,impl,num_threads,iteration,result
32,omp,2,19,0.000440
32,omp,2,20,0.000451
32,omp,2,21,0.000440
32,omp,2,22,0.000444
32,omp,2,23,0.000448
32,omp,2,24,0.000445
32,omp,2,25,0.000450
32,omp,2,26,0.000476
32,omp,2,27,0.000446
32,omp,2,28,0.000452
32,omp,2,29,0.000455
32,omp,2,30,0.000441
32,omp,8,1,0.000333
32,omp,8,2,0.000340
32,omp,8,3,0.000335
32,omp,8,4,0.000336
32,omp,8,5,0.000331
32,omp,8,6,0.000338
32,omp,8,7,0.000341
32,omp,8,8,0.000338
32,omp,8,9,0.000346
32,omp,8,10,0.000337
32,omp,8,11,0.000343
32,omp,8,12,0.000337
32,omp,8,13,0.000348
32,omp,8,14,0.000341
32,omp,8,15,0.000356
32,omp,8,16,0.000335
32,omp,8,17,0.000342
32,omp,8,18,0.000339
32,omp,8,19,0.000337
32,omp,8,20,0.000344
32,omp,8,21,0.000335
32,omp,8,22,0.000340
32,omp,8,23,0.000342
32,omp,8,24,0.000347
32,omp,8,25,0.000440
32,omp,8,26,0.000339
32,omp,8,27,0.000353
32,omp,8,28,0.000358
32,omp,8,29,0.000332
32,omp,8,30,0.000338
32,omp,32,1,0.003509
32,omp,32,2,0.003446
32,omp,32,3,0.003264
32,omp,32,4,0.003465
32,omp,32,5,0.003885
32,omp,32,6,0.003555
32,omp,32,7,0.003643
32,omp,32,8,0.004480
32,omp,32,9,0.003423
32,omp,32,10,0.003804
32,omp,32,11,0.003629
32,omp,32,12,0.003475
32,omp,32,13,0.003552
32,omp,32,14,0.003462
32,omp,32,15,0.003518
32,omp,32,16,0.003346
32,omp,32,17,0.003594
32,omp,32,18,0.003310
32,omp,32,19,0.003587
32,omp,32,20,0.003502
32,omp,32,21,0.003466
32,omp,32,22,0.003373
32,omp,32,23,0.003476
32,omp,32,24,0.003447
32,omp,32,25,0.003345
32,omp,32,26,0.003459
32,omp,32,27,0.003327
32,omp,32,28,0.003463
32,omp,32,29,0.003367
32,omp,32,30,0.003498
512,seq,2,1,0.178924
512,seq,2,2,0.169405
512,seq,2,3,0.168390
512,seq,2,4,0.167147
512,seq,2,5,0.164620
512,seq,2,6,0.165187
